Enrichment (%),Flux (n/cm²/s),Burnup (MWd/kgU),Fuel Centerline Temp (K),Clad Surface Temp (K),Coolant Outlet Temp (K)
11.49,8.450169923174277,3.662407120430311e-08,612.7679730488903,610.6266206539501,574.3390138240763
3.5,9.784251562502424,2.8632890017789618e-08,604.0945336771082,602.4202126329562,574.0469734123906
67.72,6.80295034149028,4.310284847994098e-08,619.7631598547746,617.2451435549021,574.5745463674011
17.36,8.082478771172937,3.8271720311620785e-08,614.5533971394841,612.3159065242811,574.399130228204
11.02,8.49022813332766,3.6859771279072584e-08,613.0241885029818,610.8690398912828,574.3476407670324
69.62,6.770701673103098,4.341556581778804e-08,620.1010717362749,617.5648601812447,574.5859240828329
1.73,10.89134958317429,2.1438951903407088e-08,596.2827312393334,595.0290457110616,573.7839448833209
42.41,7.236944774784437,4.0576532209185046e-08,617.0392072958263,614.6678653645125,574.4828290920932
36.69,7.374286310427715,4.1018815506948354e-08,617.5230811606683,615.1256844827861,574.4991214435626
18.87,8.002691662805548,3.894638424692005e-08,615.2849515765995,613.0080695686288,574.4237621475417
67.97,6.777794898384281,4.34269704386016e-08,620.1146272178013,617.5776857522274,574.5863805048168
63.78,6.8310553586235905,4.252868296103981e-08,619.1429998830293,616.6583768124046,574.5536651730217
55.78,6.95062781836726,4.1630746842352835e-08,618.1742384813978,615.7417794862456,574.5210463390816
20.99,7.873110639460435,3.8827691441387545e-08,615.154740256068,612.884869626895,574.4193778466865
67.82,6.767872036088922,4.2996929162266107e-08,619.6481748710256,617.1363500702781,574.570674747326
60.98,6.906390997495961,4.223148959549852e-08,618.8224984263402,616.3551331264604,574.5428736780513
12.33,8.368298034391616,3.661346565988928e-08,612.7559558679412,610.6152505519751,574.3386091976852
56.87,6.982025199518387,4.2867245071019714e-08,619.5152148516694,617.0105494365795,574.5661978959726
62.92,6.856458973914321,4.193129824058296e-08,618.4954406830443,616.0456861847265,574.531861428596
5.0,9.326165123925657,3.250745951907734e-08,608.301416623585,606.4005711130843,574.1886219297711
10.35,8.535838120964463,3.5822518096183656e-08,611.8982780167539,609.8037553543134,574.3097306199933
2.11,10.56023066792564,2.368535426731525e-08,598.7221809376504,597.337140425623,573.8660827600784
64.83,6.844439338410053,4.2218583101988754e-08,618.8058150961688,616.339348129452,574.542311939345
4.93,9.326709002372858,3.205387487798882e-08,607.8088837173732,605.9345592095146,574.1720380226803
26.02,7.702882894618837,3.8867432553858346e-08,615.1946922480362,612.9226703577573,574.4207230565487
76.18,6.660117585484402,4.337589851277669e-08,620.0533360504285,617.5196948784824,574.5843167908753
61.37,6.882561647074197,4.3173488436945826e-08,619.8443194364161,617.3219330052244,574.5772790639265
62.78,6.839744539159629,4.277296223953767e-08,619.4087444725369,616.9098120778618,574.5626129682385
35.71,7.416775314397945,4.0374135209676966e-08,616.8239737201337,614.4642212890496,574.4755820359533
35.29,7.410490002368292,4.036529934836676e-08,616.8146606182706,614.4554096619022,574.4752684576846
74.78,6.695451746001412,4.3640493069735376e-08,620.3413730900605,617.7922222313649,574.5940151875584
48.16,7.120498127586272,4.154664248068849e-08,618.0881812976806,615.6603561508824,574.5181487370712
36.33,7.399466589653373,3.9790183333037026e-08,616.1897208308309,613.8641204784016,574.4542263237652
62.18,6.854613463668626,4.1400386467317465e-08,617.9199066121615,615.5011424099682,574.5124828176673
41.57,7.240333445533347,4.0405587047324216e-08,616.8542310776725,614.4928494042593,574.4766008210942
32.45,7.498010450276736,3.9723217343885924e-08,616.119557981614,613.7977356287579,574.4518638944575
44.28,7.223337920292773,4.136894834777089e-08,617.8979761176787,615.4803927882652,574.5117444034855
29.37,7.579807362892893,3.9394601679691594e-08,615.764831481908,613.4621097867283,574.4399200197649
59.88,6.899589074397807,4.2387965676057065e-08,618.9930480912129,616.51649934784,574.5486161975072
31.42,7.518393150414748,4.0166437704624415e-08,616.6013510106862,614.2535859562647,574.4680861828169
61.48,6.882862536216667,4.207877176949144e-08,618.6564480790429,616.1980239517098,574.5372826535792
43.76,7.211395625862762,4.0794686370552425e-08,617.2750742418239,614.8910317826487,574.4907708873903
60.84,6.890173655063163,4.2038638040906894e-08,618.6133453792414,616.157242166513,574.5358313573107
29.65,7.5687583346593135,3.986229501431688e-08,616.272353620155,613.9423038098389,574.4570086241628
50.77,7.081811817326641,4.1136641373286984e-08,617.6414661419539,615.2376948881564,574.5031075437922
14.72,8.239554533488338,3.725873287482306e-08,613.455153825113,611.2767993883762,574.3621516530492
56.37,6.959824364613374,4.1564630089584127e-08,618.1020904300316,615.6735163299529,574.5186170667112
18.69,8.005794635889654,3.8281918408951086e-08,614.5636387794161,612.3255966912938,574.3994750709605
59.08,6.921150474758211,4.1993079101806895e-08,618.565129899692,616.1116229050932,574.5342079103834
52.48,7.035483210838094,4.1757088802199145e-08,618.3136013536302,615.8736382038194,574.5257387787052
69.12,6.776840488330876,4.3235808894327776e-08,619.9064122916844,617.3806823990552,574.5793697712271
2.92,10.042099695651425,2.70887732466091e-08,602.4179207504122,600.8338788638516,573.9905207517606
42.22,7.258164319832983,4.089048689721477e-08,617.3800813807808,614.9903846910464,574.4943065468648
62.93,6.86493479257801,4.2702189356451606e-08,619.3318501753578,616.8370582428386,574.5600238866479
75.02,6.676177879910758,4.3472197705073554e-08,620.1586331882281,617.6193221704004,574.5878622148016
14.64,8.224042900519107,3.7270070539803574e-08,613.4675127689246,611.2884928505979,574.3625677868208
34.94,7.431801860921648,3.9674339224180955e-08,616.0648829256116,613.7460046142326,574.4500229493399
9.09,8.676963958411553,3.5751215473635154e-08,611.821587055106,609.7311939059849,574.3071483848438
67.41,6.80698958473834,4.28922515708784e-08,619.534898384626,617.0291730869923,574.5668606534811
49.67,7.107763794902215,4.1557318346789015e-08,618.0987360258009,615.6703425474885,574.5185041217131
58.28,6.94604814927467,4.20820799551828e-08,618.6622558470926,616.2035189937876,574.5374782049515
49.66,7.10396991868997,4.159856696097048e-08,618.1435065875146,615.7127023866484,574.5200115759898
