Enrichment (%),Real Flux,Generated Flux,Real Burnup,Generated Burnup,Flux Error,Burnup Error
11.49,8.450169923174277,8.454602654932577,3.662407120430311e-08,3.65190897151991e-08,0.004432731758299724,1.0498148910401203e-10
3.5,9.784251562502424,9.408055800330304,2.8632890017789618e-08,3.125183828263245e-08,0.37619576217212014,2.6189482648428323e-09
67.72,6.802950341,6.798588047233656,4.310284847994098e-08,4.2942389421191696e-08,0.004362293766344116,1.6045905874928558e-10
17.36,8.082478771172937,8.112690564153402,3.8271720311620785e-08,3.8000045365954226e-08,0.030211792980464836,2.7167494566655843e-10
11.02,8.490228133,8.480220606386567,3.6859771279072584e-08,3.6277899361736915e-08,0.010007526613433626,5.818719173356695e-10
69.62,6.770701673103098,6.755508928886632,4.341556581778804e-08,4.337811533799256e-08,0.015192744216465215,3.745047979548019e-11
1.73,10.89134958317429,10.512967230627888,2.1438951903407088e-08,2.3648164801273283e-08,0.3783823525464012,2.209212897866195e-09
42.41,7.236944774784437,7.266152964393071,4.0576532209185046e-08,4.1057919232446064e-08,0.02920818960863425,4.813870232610174e-10
36.69,7.374286310427715,7.39199090184647,4.1018815506948354e-08,4.0690530798299707e-08,0.017704591418755022,3.2828470864864756e-10
18.87,8.002691662805548,7.974800536731196,3.894638424692005e-08,3.8562026715271056e-08,0.02789112607435218,3.8435753164899413e-10
67.97,6.777794898384281,6.77478762130652,4.34269704386016e-08,4.2524623878033414e-08,0.0030072770777609392,9.023465605681861e-10
63.78,6.8310553586235905,6.860790614212812,4.252868296103981e-08,4.275673414148345e-08,0.02973525558922141,2.2805118044364068e-10
55.78,6.950627818,7.0036894225764454,4.1630746842352835e-08,4.2031738535597856e-08,0.053061604576445376,4.0099169324502185e-10
20.99,7.873110639460435,7.932235978421503,3.8827691441387545e-08,3.8315741299075916e-08,0.059125338961067975,5.119501423116289e-10
67.82,6.767872036088922,6.798083546233663,4.2996929162266107e-08,4.313025737157118e-08,0.030211510144741105,1.3332820930507449e-10
60.98,6.906390997495961,6.882462200833282,4.223148959549852e-08,4.2035647710454354e-08,0.023928796662679552,1.95841885044169e-10
12.33,8.368298034391616,8.400081433250598,3.661346565988928e-08,3.697453356177775e-08,0.03178339885898218,3.610679018884724e-10
56.87,6.982025199518387,6.951535317520923,4.2867245071019714e-08,4.1831632444340145e-08,0.03048988199746372,1.0356126266795682e-09
62.92,6.856458973914321,6.869799298026326,4.193129824058296e-08,4.222030580831324e-08,0.013340324112005142,2.8900756773028066e-10
5.0,9.326165123925657,9.221308181694823,3.250745951907734e-08,3.238658312564076e-08,0.10485694223083364,1.2087639343657846e-10
10.35,8.535838120964463,8.532920873793852,3.5822518096183656e-08,3.5905125405580504e-08,0.002917247170611148,8.260730939684823e-11
2.11,10.56023066792564,10.634316152264274,2.368535426731525e-08,2.2738845033194473e-08,0.07408548433863338,9.465092341207776e-10
64.83,6.844439338410053,6.8209964841580675,4.2218583101988754e-08,4.2558696416288e-08,0.02344285425198578,3.4011331429924604e-10
4.93,9.326709002372858,9.237379177234592,3.205387487798882e-08,3.219117433441174e-08,0.08932982513826637,1.3729945642291866e-10
26.02,7.702882894618837,7.723867254248215,3.8867432553858346e-08,3.915707787081589e-08,0.02098435962937817,2.896453169575457e-10
76.18,6.660117585484402,6.649871934401727,4.337589851277669e-08,4.394684015269127e-08,0.010245651082675167,5.709416399145816e-10
61.37,6.882561647074197,6.927968294308216,4.3173488436945826e-08,4.234530135058915e-08,0.045406647234019104,8.281870863566791e-10
62.78,6.839744539159629,6.875421081247295,4.277296223953767e-08,4.1759382086710974e-08,0.03567654208766591,1.0135801528266972e-09
35.71,7.416775314397945,7.433903750205219,4.0374135209676966e-08,4.0524245637260395e-08,0.017128435807273412,1.5011042758342954e-10
35.29,7.410490002368292,7.407395728860063,4.036529934836676e-08,4.035789387409384e-08,0.00309427350822844,7.405474272919288e-12
74.78,6.695451746001412,6.682792870894228,4.3640493069735376e-08,4.375922566040706e-08,0.012658875107184109,1.1873259067168578e-10
48.16,7.120498127586272,7.160186149152059,4.154664248068849e-08,4.1326229602103834e-08,0.039688021565787324,2.2041287858465683e-10
36.33,7.399466589653373,7.426748738356634,3.9790183333037026e-08,4.0682618095573154e-08,0.027282148703261733,8.924347625361284e-10
