x,y,z
0.0,0.0,0.0
-0.25885782,0.2917064,0.030991433
-0.26549518,0.29918608,0.031786084
-0.30531946,0.34406397,0.036553998
-0.5590567,0.63,0.06693237
-0.63,0.5500541,0.075425975
-0.37646154,0.26434204,0.10578056
-0.335359,0.21802369,0.11070151
-0.32846823,0.21025847,0.1115265
-0.28908715,0.16588001,0.11624134
0.17712963,-0.34745517,0.28758982
0.18409118,-0.3551203,0.29014838
0.22563341,-0.40086102,0.30541638
0.43374002,-0.63,0.3819017
0.63,-0.4139049,0.45403308
0.4214673,-0.18429679,0.530675
0.37657696,-0.13486956,0.54717356
0.36893108,-0.12645097,0.5499836
-0.09045645,0.37936476,0.7188221
-0.09810231,0.38778335,0.7216322
-0.14299268,0.4372106,0.73813075
-0.31808618,0.63,0.8024828
-0.63,0.28656247,0.91712034
-0.4511763,0.08966587,0.98284334
-0.39872488,0.031913448,1.0021209
-0.3893989,0.021644922,1.0055484
-0.015830252,-0.3896786,1.1428459
-0.0065042623,-0.3999471,1.1462735
0.04594713,-0.45769954,1.165551
0.20243235,-0.63,1.2230638
0.63,-0.15922005,1.3802077
0.4590871,0.028966242,1.4430232
0.38415322,0.11147334,1.4705637
0.36792928,0.12933697,1.4765264
0.16405438,0.35381657,1.5514565
0.14783043,0.3716802,1.5574192
0.072896555,0.45418727,1.5849596
-0.08677853,0.63,1.6436449
-0.63,0.031877622,1.8432949
-0.40786973,-0.21270233,1.9249344
-0.2508684,-0.38557106,1.9826369
-0.028875299,-0.63,2.064226
0.14761625,-0.43567124,2.129092
0.4478283,-0.10511817,2.2394288
0.63,0.09546481,2.3063822
0.14452913,0.63,2.484807
-0.009964822,0.45989206,2.5415883
-0.06995887,0.39383468,2.5636377
-0.08120478,0.3814522,2.567771
-0.38748527,0.04421736,2.6803381
-0.39873117,0.03183488,2.6844714
-0.4587252,-0.034222495,2.706521
-0.63,-0.22280724,2.7694695
-0.26018295,-0.63,2.905388
-0.09649221,-0.44976577,2.9655495
-0.048602656,-0.39703625,2.9831502
-0.04031474,-0.38791072,2.9861963
0.38225028,0.07736102,3.1415014
0.3905382,0.08648655,3.1445475
0.43842775,0.13921608,3.1621482
0.63,0.35014966,3.2325568
0.3758368,0.63,3.3259692
0.18583223,0.42079255,3.3958015
0.14295538,0.37358233,3.41156
0.13572486,0.36562106,3.4142175
-0.3509059,-0.17019123,3.5930686
-0.35813642,-0.1781525,3.595726
-0.40101326,-0.22536273,3.6114845
-0.63,-0.4774921,3.6956441
-0.4914906,-0.63,3.7465503
-0.26243424,-0.37779394,3.8307352
-0.22169842,-0.33294114,3.845707
-0.21489705,-0.3254524,3.8482068
0.07659096,-0.0045050276,3.955337
0.33295804,0.20307373,4.005499
0.3407973,0.20942111,4.007033
0.38777056,0.24745505,4.016224
0.63,0.44358665,4.063619
0.39977294,0.63,4.1086664
0.15610377,0.4327027,4.156344
0.10002109,0.3872929,4.167317
0.09028115,0.37940654,4.169223
-0.38988712,-0.00938258,4.2631745
-0.39962706,-0.017268943,4.26508
-0.45570976,-0.06267873,4.2760534
-0.63,-0.20380041,4.310156
-0.10362846,-0.63,4.413148
0.12919456,-0.44148472,4.458703
0.4049523,-0.21820548,4.5126586
0.63,-0.035985835,4.5566926
0.4458808,0.11309428,4.592718
0.3528363,0.1884318,4.6109233
0.3311724,0.20597292,4.6151624
0.13257718,0.36677417,4.6540203
0.11091326,0.3843153,4.658259
0.054455373,0.4300289,4.669306
0.0015728029,0.3999969,4.5812554
-0.016657172,0.38964412,4.5509024
-0.32610133,0.213911,4.0356736
-0.34433132,0.2035582,4.0053205
-0.43392286,0.15267923,3.8561497
-0.63,0.041327164,3.5296786
-0.45642397,-0.057246543,3.240672
-0.3883296,-0.095917284,3.127294
-0.37620717,-0.102801606,3.10711
0.104433894,-0.3757573,2.3068364
0.116556324,-0.38264164,2.2866523
0.18465069,-0.4213124,2.1732743
0.5521236,-0.63,1.561427
0.63,-0.58577406,1.4317619
0.2751472,-0.3842534,0.8409272
0.25174776,-0.3849975,0.8322351
0.08797657,-0.39020523,0.7713998
-0.0630077,-0.39500636,0.7153144
-0.2267789,-0.4002141,0.6544791
-0.63,-0.4130361,0.5046964
-0.37193623,-0.42124227,0.40883467
