Enrichment (%),Flux,Burnup
11.49,7.412918491495814,4.031067481594801e-08
3.5,7.007430393021268,4.190078950317139e-08
67.72,6.685056443466931,4.391648068302966e-08
17.36,6.73203817912985,4.3593216158172115e-08
11.02,7.386811096615178,4.049218226317719e-08
69.62,6.76554518364175,4.350718286032483e-08
1.73,7.501997029904624,3.987209055785358e-08
42.41,7.40760145373048,4.021493425805719e-08
36.69,7.1982940788532535,4.116103042575016e-08
18.87,6.959087237914682,4.20280920691321e-08
67.97,7.759551183156974,3.877758450004576e-08
63.78,7.661544020131211,3.942861474352604e-08
55.78,7.0598378123148215,4.1753855960210096e-08
20.99,6.925226700583298,4.249696549464273e-08
67.82,6.675474456490435,4.408079923125665e-08
60.98,6.93988063181987,4.215375548273936e-08
12.33,6.77690179548688,4.33376045941059e-08
56.87,7.1854872512574355,4.105678884634227e-08
62.92,7.146082222117241,4.1134692984549506e-08
5.0,7.182658575599417,4.121862091515273e-08
10.35,7.880020527696791,3.831537868749433e-08
2.11,6.68930800816845,4.405497980660111e-08
64.83,6.886143106225577,4.227172635065174e-08
4.93,7.02732361619865,4.16459956652228e-08
26.02,6.79678826444412,4.324585461367151e-08
76.18,8.101307121323664,3.753290174569245e-08
61.37,7.538974794745403,3.9514488936291614e-08
62.78,7.307142942549989,4.0294999265281164e-08
35.71,11.464656429847542,1.8033973406421095e-08
35.29,6.8549395592989075,4.274073483047592e-08
74.78,8.451095748165622,3.5719632931072155e-08
48.16,6.933436734011317,4.219493409795741e-08
36.33,6.670028159062545,4.4123572597409996e-08
62.18,6.644792368406994,4.436744183643403e-08
41.57,6.602563610507021,4.439674677241452e-08
32.45,7.105523068191965,4.126708506306593e-08
44.28,7.146198221200801,4.1269384686514394e-08
29.37,7.606846486451853,3.9296622277772997e-08
59.88,7.157980348914954,4.142991061360754e-08
31.42,8.830753312820082,3.380706959504977e-08
61.48,7.439841102158139,4.0227990125053044e-08
43.76,7.729289880922943,3.89483283034912e-08
60.84,6.63496006218305,4.443825839826871e-08
29.65,6.937240909085002,4.2225952188654945e-08
50.77,7.426353482220058,4.0019190606132936e-08
14.72,7.551172627152529,3.966748327283068e-08
56.37,7.4199055360104404,4.042268664353254e-08
18.69,8.48685387022042,3.5828246200108954e-08
59.08,6.981030852300553,4.202587199822449e-08
52.48,7.115296238843217,4.109244873529581e-08
69.12,7.789999703285128,3.8718045898421755e-08
2.92,6.926561309697467,4.2297022208584906e-08
42.22,7.415280857447554,4.0136769261518305e-08
62.93,7.332620026171023,4.056030143885912e-08
75.02,6.776813763418837,4.3283982481450675e-08
14.64,6.896870088429652,4.2678881804930724e-08
34.94,7.765769114089789,3.914274176292997e-08
9.09,6.611754152214268,4.450742655745449e-08
67.41,7.004492988877519,4.181336681094776e-08
49.67,6.805826009993846,4.3263173016809985e-08
58.28,6.918579969619374,4.2367920173019536e-08
49.66,6.986552045148136,4.182865939938303e-08
45.65,8.798259689190951,3.440984289723491e-08
30.15,7.244521118199376,4.092677779387426e-08
71.5,7.010900492386709,4.192252029723874e-08
52.89,7.467556703706514,3.996068988765824e-08
15.55,6.598149262903517,4.465993987863025e-08
29.94,6.934414794660311,4.229713506218938e-08
47.47,6.814964077400563,4.299480344526135e-08
78.25,7.940054680183366,3.81486310116826e-08
25.37,8.223170272515663,3.709469489965232e-08
3.81,7.194236672161966,4.088717357894153e-08
34.87,6.671589995014008,4.4301749938277756e-08
20.77,6.689685728118784,4.406500712686716e-08
40.62,7.898299802086559,3.843897003492116e-08
63.6,6.776814920104855,4.345667994729481e-08
35.78,8.72465529633641,3.461695516226523e-08
47.05,7.422697445577159,3.993766405222811e-08
23.73,6.5876784969800735,4.4323145871649884e-08
51.87,7.338024228489887,4.0442515576855696e-08
29.0,6.827796269468356,4.3027427387248726e-08
63.33,7.105408349725067,4.1339218866972454e-08
66.46,6.628545783798611,4.432457966744438e-08
20.4,7.581224569217229,3.932137606839288e-08
14.71,6.66716571230381,4.400871167882736e-08
11.55,6.589140661710433,4.468239404580166e-08
57.87,8.64984299279693,3.499225444907905e-08
55.93,6.627137105469049,4.4486354384423063e-08
7.57,6.920084487647604,4.241790506950444e-08
61.82,7.7680101106300254,3.8930549235639396e-08
62.88,7.654774515208475,3.9313896279493315e-08
70.7,7.494936866309549,4.0088499369809534e-08
36.32,6.873726784091617,4.245742788183723e-08
75.0,6.8173982818160885,4.321767081349937e-08
39.93,8.41917864989624,3.6232898524439594e-08
54.81,6.692326049851768,4.400051221694191e-08
74.23,8.497991434650816,3.564324584131845e-08
24.26,7.614263652924468,3.93605880707986e-08
23.35,7.191436417931829,4.1126478722191336e-08
79.74,7.003216255374486,4.190971418821999e-08
