Enrichment (%),Flux (n/cm²/s),Burnup (MWd/kgU),Fuel Centerline Temp (K),Clad Surface Temp (K),Coolant Outlet Temp (K)
11.49,8.435944181414172,3.6473818882479854e-08,612.5855642129553,610.6034448426531,574.3366107886284
3.5,9.725188669285727,2.986055243411044e-08,605.4113931127249,603.639533816398,574.0819937178321
67.72,6.788445677759464,4.2825220579348293e-08,619.5166182111222,617.0416097971388,574.5690668299193
17.36,8.140149436757401,3.7913802333050616e-08,614.4621519900975,612.0503786258229,574.3930974111659
11.02,8.520178807178176,3.655940294219978e-08,612.6736307660209,610.479896451696,574.3324204335695
69.62,6.740781668439797,4.3073544218804584e-08,619.6526204241217,617.1721667391217,574.57472956364
1.73,9.948287948647257,2.8625526956317855e-08,603.8905874489996,602.1795742661226,574.0312124960462
42.41,7.264238036014577,4.061353783542174e-08,617.2472142276333,614.7975024339058,574.4909956154539
36.69,7.361957798796551,4.0634006364431095e-08,617.0498315170552,614.7339859204981,574.4782878294017
18.87,7.929670775444768,3.8545656448392127e-08,614.7898592818979,612.6804374497046,574.4122410628627
67.97,6.800049830835976,4.3034584338244986e-08,619.6376000041209,617.1064767706054,574.569853740432
63.78,6.8528305419414,4.255336232664946e-08,619.191561930538,616.707082884292,574.5514925395113
55.78,7.0223774493662035,4.172497604228656e-08,618.2277839363827,615.8833546207715,574.5263300408097
20.99,7.841019402507553,3.836159107635693e-08,614.6522913709989,612.4011335046961,574.3995697534608
67.82,6.813740137424031,4.315091679059008e-08,620.0112759490244,617.4991950447992,574.5840603973119
60.98,6.9196008815328085,4.2625354203320214e-08,619.2700504453168,616.802088310569,574.5586258546866
12.33,8.395342365108197,3.750061419527873e-08,613.7034843745621,611.6347810892461,574.3690756065479
56.87,6.975031932134928,4.216072297232254e-08,618.6806106546461,616.242992234852,574.5376720159323
62.92,6.867344034303058,4.260982679399419e-08,619.2304019136592,616.7945036630083,574.5536559110706
5.0,9.092746290791954,3.362330535920708e-08,609.3089855177728,607.5818185174995,574.226558338114
