,mean_error_%,std_error_%,ks_statistic,ks_pvalue,wasserstein_distance,real_mean,real_std,gen_mean,gen_std
Enrichment (%),53.948598370255496,75.11083813981377,0.60485,4.799854717193156e-258,25.880125301074035,46.2986308359036,26.387300381204202,71.2760932364925,6.567577902411452
Flux (n/cm²/s),9.394413026595942,84.9370928687029,0.5507,3.2587760660496645e-210,0.6988439560067112,7.438931565263913,0.9454238866670078,6.740087609257203,0.1424083220457509
Burnup (MWd/kgU),7.841070261818292,91.06683180392727,0.62725,8.594489463770634e-280,3.3197063705330944e-09,4.0138345846315304e-08,4.453796014836915e-09,4.328562174605651e-08,3.9786508911536605e-10
Fuel Centerline Temp (K),0.5634418590838375,91.07820380361933,0.6405,3.056536593377445e-293,3.635542110746923,616.5593930113978,4.820758332255085,620.0333467177372,0.4300982335238389
Clad Surface Temp (K),0.5382241422806547,90.6571370143018,0.63825,6.319834740639589e-291,3.4452251004795063,614.213887233861,4.561179037441348,617.5197346601941,0.42614470800053383
Coolant Outlet Temp (K),0.019595457539714957,90.19245997769299,0.61685,1.5211237225366138e-269,0.11863866670842027,574.4666734293681,0.16231810561440838,574.5792428024398,0.01591941317158366
Reactivity,20.18177164029319,74.68115231107028,0.6078,7.693450708244258e-261,0.00255310026400635,0.012304317350643657,0.0025352227444154995,0.014787546580247533,0.0006418891852336645
HTC (W/m2K),0.1973971103265014,6.9346913721356085,0.0639,0.004515418578714954,54.405403010316164,11006.145987738348,586.8463191508674,11027.87180187646,627.542300212718
FlowRate (kg/s),2.3451369765433396,4.668111238160241,0.07275,0.0007462058366725002,0.5478371123128879,19.93912651023662,5.868466567767794,20.406726338827934,6.142413115125439
Swelling (%),0.6407387144537056,90.64821484782404,0.62065,2.9413478791121264e-273,0.0036679424071391336,0.5417942851474551,0.004935870716635276,0.5452657708850925,0.00046159202480889917
FissionGasRelease (%),3.796793913155995,90.85887418900056,0.62945,5.395431453711571e-282,0.00734405997515071,0.18358857029491013,0.00987174143327055,0.1905590499571174,0.0009023883041518202
